id,client_id,accuracy,ts
1,pension,0.97,2025-08-19T15:33:22.191960
2,pension,0.97,2025-08-19T15:53:07.605375
3,pension,0.97,2025-08-19T15:53:35.265265
4,pension,0.97,2025-08-19T15:54:00.528127
5,pension,0.97,2025-08-19T16:09:00.495106
6,bank,0.95,2025-08-19T16:09:30.219098
7,aadhaar,0.95,2025-08-19T16:09:53.674679
8,telecom,0.96,2025-08-19T16:11:59.678904
9,tax,0.95,2025-08-19T16:12:10.704325
10,insurance,0.95,2025-08-19T16:12:21.552325
11,death_registrar,0.9722222222222222,2025-08-19T16:12:43.851166
12,death_registrar,0.9888888888888889,2025-08-19T16:12:56.208273
13,death_registrar,0.9888888888888889,2025-08-19T16:13:00.667814
14,insurance,0.94,2025-08-19T16:13:08.010690
15,insurance,0.89,2025-08-19T16:13:12.304507
16,insurance,0.89,2025-08-19T16:13:16.781272
17,death_registrar,0.9888888888888889,2025-08-19T16:13:21.706250
18,tax,0.85,2025-08-19T16:13:26.524396
19,death_registrar,0.9888888888888889,2025-08-19T16:13:30.614802
20,telecom,0.96,2025-08-19T16:13:36.262984
21,telecom,0.96,2025-08-19T16:13:41.790417
22,telecom,0.96,2025-08-19T16:13:46.177501
23,telecom,0.96,2025-08-19T16:13:49.600565
24,tax,0.85,2025-08-19T16:13:55.370796
25,tax,0.85,2025-08-19T16:13:59.711123
26,tax,0.85,2025-08-19T16:14:03.269111
27,insurance,0.89,2025-08-19T16:14:12.980345
28,insurance,0.89,2025-08-19T16:14:16.747122
29,insurance,0.89,2025-08-19T16:14:20.080981
30,aadhaar,0.9,2025-08-19T16:14:26.701287
31,aadhaar,0.79,2025-08-19T16:14:31.808679
32,aadhaar,0.79,2025-08-19T16:14:35.701057
33,aadhaar,0.79,2025-08-19T16:14:39.118086
34,insurance,0.89,2025-08-19T16:14:43.438865
35,telecom,0.96,2025-08-19T22:02:23.465940
36,telecom,0.96,2025-08-19T22:02:28.590616
37,insurance,0.89,2025-08-19T22:02:36.009400
38,insurance,0.89,2025-08-19T22:26:23.131612
39,telecom,0.96,2025-08-19T22:26:31.169668
40,aadhaar,0.79,2025-08-19T22:26:38.636158
41,tax,0.85,2025-08-19T22:26:47.107954
